Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
South Korea,13 Dec 2025,Nathan Youngblut – Jarl Vetreiði – Battle Hardened: Seoul,Battle Hardened: Seoul,Classic Constructed,Jarl Vetreiði,3rd,https://fabtcg.com/decklists/nathan-youngblut-jarl-vetreii-battle-hardened-seoul/
South Korea,13 Dec 2025,창건 곽 – Dash I/O – Battle Hardened: Seoul,Battle Hardened: Seoul,Classic Constructed,Dash I/O,3rd,https://fabtcg.com/decklists/dash-io-battle-hardened-seoul/
South Korea,13 Dec 2025,Ugo Henson – Dorinthea Ironsong – Battle Hardened: Seoul,Battle Hardened: Seoul,Classic Constructed,Dorinthea Ironsong,5th,https://fabtcg.com/decklists/ugo-henson-dorinthea-ironsong-battle-hardened-seoul/
South Korea,13 Dec 2025,"In GwangYeol – Gravy Bones, Shipwrecked Looter – Battle Hardened: Seoul",Battle Hardened: Seoul,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/in-gwangyeol-gravy-bones-shipwrecked-looter-battle-hardened-seoul/
South Korea,12 Dec 2025,"Keeseob Choi – Kayo, Armed and Dangerous – Battle Hardened: Seoul",Battle Hardened: Seoul,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/keeseob-choi-kayo-armed-and-dangerous-battle-hardened-seoul/
South Korea,12 Dec 2025,"Andy Kim – Gravy Bones, Shipwrecked Looter – Battle Hardened: Seoul",Battle Hardened: Seoul,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/andy-kim-gravy-bones-shipwrecked-looter-battle-hardened-seoul/
Czechia,12 Dec 2025,"Jan Kučera – Kano, Dracai of Aether – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Kano, Dracai of Aether",1st,https://fabtcg.com/decklists/jan-kucera-kano-dracai-of-aether-battle-hardened-vienna/
Czechia,12 Dec 2025,"Igor Makarev – Cindra, Dracai of Retribution – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Cindra, Dracai of Retribution",2nd,https://fabtcg.com/decklists/igor-makarev-cindra-dracai-of-retribution-battle-hardened-vienna/
Austria,12 Dec 2025,"valentin mackl – Kayo, Armed and Dangerous – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/valentin-mackl-kayo-armed-and-dangerous-battle-hardened-vienna/
Germany,12 Dec 2025,"Daniel Hammer – Arakni, Marionette – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Arakni, Marionette",3rd,https://fabtcg.com/decklists/daniel-hammer-arakni-marionette-battle-hardened-vienna/
Austria,12 Dec 2025,"Denis Medjic – Gravy Bones, Shipwrecked Looter – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/denis-medjic-gravy-bones-shipwrecked-looter-battle-hardened-vienna/
Germany,12 Dec 2025,"Cosmo Hahn – Lyath Goldmane, Vile Savant – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Lyath Goldmane, Vile Savant",5th,https://fabtcg.com/decklists/cosmo-hahn-lyath-goldmane-vile-savant-battle-hardened-vienna/
Austria,12 Dec 2025,"Tom Tucek – Cindra, Dracai of Retribution – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/tom-tucek-cindra-dracai-of-retribution-battle-hardened-vienna/
Germany,12 Dec 2025,"Tobias Hartfiel – Kayo, Armed and Dangerous – Battle Hardened: Vienna",Battle Hardened: Vienna,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/tobias-hartfiel-kayo-armed-and-dangerous-battle-hardened-vienna/
,12 Dec 2025,"Armory Deck – Arakni, 5L!p3d 7hRu 7h3 cR4X",,Classic Constructed,"Arakni, 5L!p3d 7hRu 7h3 cR4X",,https://fabtcg.com/decklists/armory-deck-arakni-5lp3d-7hru-7h3-cr4x/
Singapore,05 Dec 2025,"Gordon Koh Koh – Cindra, Dracai of Retribution – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/gordon-koh-koh-cindra-dracai-of-retribution-battle-hardened-singapore-comic-con-2025/
United Kingdom,05 Dec 2025,"Jacob Clements – Oscilio, Constella Intelligence – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Oscilio, Constella Intelligence",2nd,https://fabtcg.com/decklists/jacob-clements-oscilio-constella-intelligence-battle-hardened-singapore-comic-con-2025/
Singapore,05 Dec 2025,Chia Yong Teck – Jarl Vetreiði – Battle Hardened: Singapore,Battle Hardened: Singapore,Classic Constructed,Jarl Vetreiði,3rd,https://fabtcg.com/decklists/chia-yong-teck-jarl-vetreii-battle-hardened-singapore-comic-con-2025/
Singapore,05 Dec 2025,"Rafe Ang – Puffin, Hightail – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Puffin, Hightail",3rd,https://fabtcg.com/decklists/rafe-ang-puffin-hightail-battle-hardened-singapore-comic-con-2025/
Singapore,05 Dec 2025,"Kelvin Tan – Arakni, Marionette – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/kelvin-tan-arakni-marionette-battle-hardened-singapore-comic-con-2025/
Singapore,05 Dec 2025,"Eon Lovelace – Prism, Awakener of Sol – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/eon-lovelace-prism-awakener-of-sol-battle-hardened-singapore-comic-con-2025/
Singapore,05 Dec 2025,"Jose Lau – Arakni, Marionette – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/jose-lau-arakni-marionette-battle-hardened-singapore-comic-con-2025/
Singapore,05 Dec 2025,"Dong Quek – Oscilio, Constella Intelligence – Battle Hardened: Singapore",Battle Hardened: Singapore,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/dong-quek-oscilio-constella-intelligence-battle-hardened-singapore-comic-con-2025/
