Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
Ireland,28 Sep 2024,"Connor McGrath – Azalea, Ace in the Hole – Calling: Lyon",Calling: Lyon,Classic Constructed,"Azalea, Ace in the Hole",2nd,https://fabtcg.com/decklists/connor-mcgrath-azalea-ace-in-the-hole-calling-lyon/
United Kingdom,28 Sep 2024,"Jacob Clements – Enigma, Ledger of Ancestry – Calling: Lyon",Calling: Lyon,Classic Constructed,"Enigma, Ledger of Ancestry",3rd,https://fabtcg.com/decklists/jacob-clements-enigma-ledger-of-ancestry-calling-lyon/
Belgium,28 Sep 2024,"Sammy Weckx – Prism, Awakener of Sol – Calling: Lyon",Calling: Lyon,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/sammy-weckx-prism-awakener-of-sol-calling-lyon/
Belgium,28 Sep 2024,"Sam Cornelis – Enigma, Ledger of Ancestry – Calling: Lyon",Calling: Lyon,Classic Constructed,"Enigma, Ledger of Ancestry",5th,https://fabtcg.com/decklists/sam-cornelis-enigma-ledger-of-ancestry-calling-lyon/
Switzerland,28 Sep 2024,"Sebastian Spicher – Verdance, Thorn of the Rose – Calling: Lyon",Calling: Lyon,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/sebastian-spicher-verdance-thorn-of-the-rose-calling-lyon/
Netherlands,28 Sep 2024,"Peter Markovič – Enigma, Ledger of Ancestry – Calling: Lyon",Calling: Lyon,Classic Constructed,"Enigma, Ledger of Ancestry",5th,https://fabtcg.com/decklists/peter-markovic-enigma-ledger-of-ancestry-calling-lyon/
Poland,28 Sep 2024,"Bartosz Ziemba – Aurora, Shooting Star – Calling: Lyon",Calling: Lyon,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/bartosz-ziemba-aurora-shooting-star-calling-lyon/
New Zealand,26 Sep 2024,Dumpster Dive – LOOK Turbo,"Dumpster Dive #6: Don't Worry, It Gets Worse",Commoner,Arakni,,https://fabtcg.com/decklists/dumpster-dive-look-turbo/
United States of America,26 Sep 2024,Dumpster Dive – Bladeblade,"Dumpster Dive #6: Don't Worry, It Gets Worse",Commoner,Florian,,https://fabtcg.com/decklists/dumpster-dive-bladeblade/
New Zealand,26 Sep 2024,Dumpster Dive – Sloggizen,"Dumpster Dive #6: Don't Worry, It Gets Worse",Commoner,Zen,,https://fabtcg.com/decklists/dumpster-dive-sloggizen/
Australia,22 Sep 2024,"Steven Young – Kano, Dracai of Aether – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Kano, Dracai of Aether",1st,https://fabtcg.com/decklists/steven-young-kano-dracai-of-aether-battle-hardened-sydney/
Australia,22 Sep 2024,Louis Shum – Chane – Commoner Gold Foil,Calling: Sydney,Commoner,Chane,1st,https://fabtcg.com/decklists/louis-shum-chane-commoner-gold-foil/
Australia,22 Sep 2024,"Fahad Rahman – Kano, Dracai of Aether – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Kano, Dracai of Aether",2nd,https://fabtcg.com/decklists/fahad-rahman-kano-dracai-of-aether-battle-hardened-sydney/
Australia,22 Sep 2024,"Amelia Hulin-Bobart – Enigma, Ledger of Ancestry – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Enigma, Ledger of Ancestry",3rd,https://fabtcg.com/decklists/amelia-hulin-bobart-enigma-ledger-of-ancestry-battle-hardened-sydney/
Australia,22 Sep 2024,"Declan Bradley – Florian, Rotwood Harbinger – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Florian, Rotwood Harbinger",3rd,https://fabtcg.com/decklists/declan-bradley-florian-rotwood-harbinger-battle-hardened-sydney/
Hong Kong,22 Sep 2024,"Kelvin Law – Kayo, Armed and Dangerous – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/kelvin-law-kayo-armed-and-dangerous-battle-hardened-sydney/
Australia,22 Sep 2024,"Ethan Dominy – Aurora, Shooting Star – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/ethan-dominy-aurora-shooting-star-battle-hardened-sydney/
Australia,22 Sep 2024,"Tom Nguyen – Aurora, Shooting Star – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Aurora, Shooting Star",5th,https://fabtcg.com/decklists/tom-nguyen-aurora-shooting-star-battle-hardened-sydney/
New Zealand,21 Sep 2024,Darryn Ying – Florian – Calling: Sydney,Calling: Sydney,Booster Draft,Florian,1st,https://fabtcg.com/decklists/darryn-ying-florian-calling-sydney/
New Zealand,21 Sep 2024,Mathew Fletcher – Verdance – Calling: Sydney,Calling: Sydney,Booster Draft,Verdance,2nd,https://fabtcg.com/decklists/mathew-fletcher-verdance-calling-sydney/
Australia,21 Sep 2024,Sam Sutherland – Oscilio – Calling: Sydney,Calling: Sydney,Booster Draft,Oscilio,3rd,https://fabtcg.com/decklists/sam-sutherland-oscilio-calling-sydney/
Australia,21 Sep 2024,Lachlan Buchan – Aurora – Calling: Sydney,Calling: Sydney,Booster Draft,Aurora,3rd,https://fabtcg.com/decklists/lachlan-buchan-aurora-calling-sydney/
Australia,21 Sep 2024,Evan Bicknell – Oscilio – Calling: Sydney,Calling: Sydney,Booster Draft,Oscilio,5th,https://fabtcg.com/decklists/evan-bicknell-oscilio-calling-sydney/
Australia,21 Sep 2024,Patrick Watt – Aurora – Calling: Sydney,Calling: Sydney,Booster Draft,Aurora,5th,https://fabtcg.com/decklists/patrick-watt-aurora-calling-sydney/
New Zealand,21 Sep 2024,"Jared Fung – Katsu, the Wanderer – Battle Hardened: Sydney",Calling: Sydney,Classic Constructed,"Katsu, the Wanderer",5th,https://fabtcg.com/decklists/jared-fung-katsu-the-wanderer-battle-hardened-sydney/
New Zealand,21 Sep 2024,Krishaal Kumar – Florian – Calling: Sydney,Calling: Sydney,Booster Draft,Florian,5th,https://fabtcg.com/decklists/krishaal-kumar-florian-calling-sydney/
Australia,21 Sep 2024,Tye Soens – Verdance – Calling: Sydney,Calling: Sydney,Booster Draft,Verdance,5th,https://fabtcg.com/decklists/tye-soens-verdance-calling-sydney/
,20 Sep 2024,"Budget Deck – Oscilio, Constella Intelligence",Dev Download: Oscilio,Classic Constructed,"Oscilio, Constella Intelligence",,https://fabtcg.com/decklists/budget-deck-oscilio-constella-intelligence/
,19 Sep 2024,"Budget Deck – Verdance, Thorn of the Rose",Dev Download: Verdance,Classic Constructed,"Verdance, Thorn of the Rose",,https://fabtcg.com/decklists/budget-deck-verdance-thorn-of-the-rose/
,18 Sep 2024,"Budget Deck – Florian, Rotwood Harbinger",Dev Download: Florian,Classic Constructed,"Florian, Rotwood Harbinger",,https://fabtcg.com/decklists/budget-deck-florian-rotwood-harbinger/
,17 Sep 2024,"Budget Deck – Aurora, Shooting Star",Dev Download: Aurora,Classic Constructed,"Aurora, Shooting Star",,https://fabtcg.com/decklists/budget-deck-aurora-shooting-star/
Philippines,08 Sep 2024,"Jomari Daniel Panganiban – Blaze, Firemind – Skirmish Season 9 – Arcanopolis Cafe and Boardgamery",Skirmish Season 9,Blitz,"Blaze, Firemind",1st,https://fabtcg.com/decklists/jomari-daniel-panganiban-blaze-firemind-skirmish-season-9-arcanopolis-cafe-and-boardgamery/
United States of America,08 Sep 2024,"Natalie Hunt – Ira, Crimson Haze – Commoner Gold Foil",World Premiere: Rosetta / Calling: Tampa Bay,Commoner,"Ira, Crimson Haze",1st,https://fabtcg.com/decklists/natalie-hunt-ira-crimson-haze-commoner-gold-foil/
United States of America,08 Sep 2024,Ryan Mound – Florian – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Oscilio,1st,https://fabtcg.com/decklists/ryan-mound-florian-battle-hardened-tampa-bay/
United States of America,08 Sep 2024,Evan Bridges – Aurora – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Aurora,2nd,https://fabtcg.com/decklists/evan-bridges-aurora-battle-hardened-tampa-bay/
United States of America,08 Sep 2024,David Lee – Florian – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Florian,3rd,https://fabtcg.com/decklists/david-lee-florian-battle-hardened-tampa-bay/
Austria,08 Sep 2024,Florin-Cristian Loghin – Verdance – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Verdance,3rd,https://fabtcg.com/decklists/florin-cristian-loghin-verdance-battle-hardened-tampa-bay/
United States of America,08 Sep 2024,Jonathan Henley – Verdance – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Verdance,5th,https://fabtcg.com/decklists/jonathan-henley-verdance-battle-hardened-tampa-bay/
United States of America,08 Sep 2024,Pat Eshghy – Florian – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Florian,5th,https://fabtcg.com/decklists/pat-eshghy-florian-battle-hardened-tampa-bay/
United States of America,08 Sep 2024,Mark Morrison – Oscilio – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Oscilio,5th,https://fabtcg.com/decklists/mark-morrison-oscilio-battle-hardened-tampa-bay/
United States of America,08 Sep 2024,William Pistel – Verdance – Battle Hardened: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Verdance,5th,https://fabtcg.com/decklists/william-pistel-verdance-battle-hardened-tampa-bay/
United States of America,07 Sep 2024,Lucas Oswald – Florian – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Florian,1st,https://fabtcg.com/decklists/lucas-oswald-florian-calling-tampa-bay/
United States of America,07 Sep 2024,Michael Hamilton – Aurora – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Aurora,2nd,https://fabtcg.com/decklists/michael-hamilton-aurora-calling-tampa-bay/
United States of America,07 Sep 2024,Eric Dauernnheim – Florian: Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Florian,3rd,https://fabtcg.com/decklists/eric-dauernnheim-florian-calling-tampa-bay/
Canada,07 Sep 2024,Shawn Dhaliwal – Florian – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Florian,3rd,https://fabtcg.com/decklists/shawn-dhaliwal-florian-calling-tampa-bay/
United States of America,07 Sep 2024,Andrew Lorenz – Aurora – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Aurora,5th,https://fabtcg.com/decklists/andrew-lorenz-aurora-calling-tampa-bay/
United States of America,07 Sep 2024,Michael Dalton – Verdance – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Verdance,5th,https://fabtcg.com/decklists/michael-dalton-verdance-calling-tampa-bay/
Canada,07 Sep 2024,Noah Clark – Aurora – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Aurora,5th,https://fabtcg.com/decklists/noah-clark-aurora-calling-tampa-bay/
Argentina,07 Sep 2024,Ignacio Rodríguez Villasuso – Oscilio – Calling: Tampa Bay,World Premiere: Rosetta / Calling: Tampa Bay,Booster Draft,Oscilio,5th,https://fabtcg.com/decklists/ignacio-rodriguez-villasuso-oscilio-calling-tampa-bay/
Spain,01 Sep 2024,"Jose Cuenda – Enigma, Ledger of Ancestry – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Enigma, Ledger of Ancestry",1st,https://fabtcg.com/decklists/jose-cuenda-enigma-ledger-of-ancestry-battle-hardened-lisbon/
Portugal,01 Sep 2024,"Marcos Vassão – Kayo, Armed and Dangerous – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Kayo, Armed and Dangerous",2nd,https://fabtcg.com/decklists/marcos-vassao-kayo-armed-and-dangerous-battle-hardened-lisbon/
Portugal,01 Sep 2024,"Rúben Martins – Kano, Dracai of Aether – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Kano, Dracai of Aether",3rd,https://fabtcg.com/decklists/ruben-martins-kano-dracai-of-aether-battle-hardened-lisbon/
Spain,01 Sep 2024,"Juan Chacon – Azalea, Ace in the Hole – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Azalea, Ace in the Hole",3rd,https://fabtcg.com/decklists/juan-chacon-azalea-ace-in-the-hole-battle-hardened-lisbon/
Latvia,01 Sep 2024,"Gints Dreimanis – Zen, Tamer of Purpose – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/gints-dreimanis-zen-tamer-of-purpose-battle-hardened-lisbon/
Spain,01 Sep 2024,"Cristian Codes – Kano, Dracai of Aether – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Kano, Dracai of Aether",5th,https://fabtcg.com/decklists/cristian-codes-kano-dracai-of-aether-battle-hardened-lisbon/
Italy,01 Sep 2024,"Stefano Meoni – Azalea, Ace in the Hole – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Azalea, Ace in the Hole",5th,https://fabtcg.com/decklists/stefano-meoni-azalea-ace-in-the-hole-battle-hardened-lisbon/
Portugal,01 Sep 2024,"Pedro Carvalho – Enigma, Ledger of Ancestry – Battle Hardened: Lisbon",Battle Hardened: Lisbon,Classic Constructed,"Enigma, Ledger of Ancestry",5th,https://fabtcg.com/decklists/pedro-carvalho-enigma-ledger-of-ancestry-battle-hardened-lisbon/
Brazil,01 Sep 2024,"Gui Landgraf – Prism, Sculptor of Arc Light – Skirmish Season 9 – Paladino Hobbies",Skirmish Season 9,Living Legend,"Prism, Sculptor of Arc Light",1st,https://fabtcg.com/decklists/gui-landgraf-prism-sculptor-of-arc-light-skirmish-season-9-paladino-hobbies/
United Kingdom,01 Sep 2024,Dmitry Filippov – Rhinar – Skirmish Season 9 – Spellbound Games,Skirmish Season 9,Blitz,Rhinar,1st,https://fabtcg.com/decklists/dmitry-filippov-rhinar-skirmish-season-9-spellbound-games/
New Zealand,30 Aug 2024,Dumpster Dive – Cut My Life into Pieces,Dumpster Dive #5: Yikes,Commoner,Vynnset,,https://fabtcg.com/decklists/dumpster-dive-cut-my-life-into-pieces/
United States of America,30 Aug 2024,Dumpster Dive – Low Tide,Dumpster Dive #5: Yikes,Commoner,Riptide,,https://fabtcg.com/decklists/dumpster-dive-low-tide/
New Zealand,30 Aug 2024,Dumpster Dive – Zap,Dumpster Dive #5: Yikes,Commoner,Oscilio,,https://fabtcg.com/decklists/dumpster-dive-zap/
,28 Aug 2024,Rosetta Blitz Deck – Oscilio,,Blitz Preconstructed,Oscilio,,https://fabtcg.com/decklists/rosetta-blitz-deck-oscilio/
,28 Aug 2024,Rosetta Blitz Deck – Verdance,,Blitz Preconstructed,Verdance,,https://fabtcg.com/decklists/rosetta-blitz-deck-verdance/
,27 Aug 2024,Rosetta Blitz Deck – Aurora,,Blitz Preconstructed,Aurora,,https://fabtcg.com/decklists/rosetta-blitz-deck-aurora/
,27 Aug 2024,Rosetta Blitz Deck – Florian,,Blitz Preconstructed,Florian,,https://fabtcg.com/decklists/rosetta-blitz-deck-florian/
Norway,25 Aug 2024,"Magne Gjennestad – Arakni, Solitary Confinement – Skirmish Season 9 – Manaheim",Skirmish Season 9,Blitz,"Arakni, Solitary Confinement",1st,https://fabtcg.com/decklists/magne-gjennestad-arakni-solitary-confinement-skirmish-season-9-manaheim/
United States of America,25 Aug 2024,"Jude Cornett – Dromai, Ash Artist – Skirmish Season 9 – Goin Gaming",Skirmish Season 9,Living Legend,"Dromai, Ash Artist",1st,https://fabtcg.com/decklists/jude-cornett-dromai-ash-artist-skirmish-season-9-goin-gaming/
Australia,25 Aug 2024,"Adrien De Haro – Lexi, Livewire – Skirmish Season 9 – Good Games Chatswood",Skirmish Season 9,Living Legend,"Lexi, Livewire",1st,https://fabtcg.com/decklists/adrien-de-haro-lexi-livewire-skirmish-season-9-good-games-chatswood/
United States of America,24 Aug 2024,"Majin Bae – Kano, Dracai of Aether – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Kano, Dracai of Aether",1st,https://fabtcg.com/decklists/majin-bae-kano-dracai-of-aether-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Brodie Spurlock – Zen, Tamer of Purpose – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Zen, Tamer of Purpose",2nd,https://fabtcg.com/decklists/brodie-spurlock-zen-tamer-of-purpose-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Eugene Galipchak – Kano, Dracai of Aether – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Kano, Dracai of Aether",3rd,https://fabtcg.com/decklists/eugene-galipchak-kano-dracai-of-aether-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Nicholas Tagg – Prism, Awakener of Sol – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/nicholas-tagg-prism-awakener-of-sol-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Naib Mobassir – Zen, Tamer of Purpose – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/naib-mobassir-zen-tamer-of-purpose-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Justin Irby – Azalea, Ace in the Hole – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Azalea, Ace in the Hole",5th,https://fabtcg.com/decklists/justin-irby-azalea-ace-in-the-hole-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Tyler Horspool – Enigma, Ledger of Ancestry – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Enigma, Ledger of Ancestry",5th,https://fabtcg.com/decklists/tyler-horspool-enigma-ledger-of-ancestry-battle-hardened-san-diego/
United States of America,24 Aug 2024,"Anthony Pham – Riptide, Lurker of the Deep – Battle Hardened: San Diego",Battle Hardened: San Diego,Classic Constructed,"Riptide, Lurker of the Deep",5th,https://fabtcg.com/decklists/anthony-pham-riptide-lurker-of-the-deep-battle-hardened-san-diego/
Japan,23 Aug 2024,"Yoshiki Mizutani – Zen, Tamer of Purpose – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Zen, Tamer of Purpose",1st,https://fabtcg.com/decklists/yoshiki-mizutani-zen-tamer-of-purpose-battle-hardened-osaka/
Japan,23 Aug 2024,"Kei Iikubo – Nuu, Alluring Desire – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Nuu, Alluring Desire",2nd,https://fabtcg.com/decklists/kei-iikubo-nuu-alluring-desire-battle-hardened-osaka/
Japan,23 Aug 2024,"Kouji Hamada – Kayo, Armed and Dangerous – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/kouji-hamada-kayo-armed-and-dangerous-battle-hardened-osaka/
Hong Kong,23 Aug 2024,"Eugene C – Rhinar, Reckless Rampage – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Rhinar, Reckless Rampage",3rd,https://fabtcg.com/decklists/eugene-c-rhinar-reckless-rampage-battle-hardened-osaka/
Japan,23 Aug 2024,"Takeyuki Matsubara – Riptide, Lurker of the Deep – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Riptide, Lurker of the Deep",5th,https://fabtcg.com/decklists/takeyuki-matsubara-riptide-lurker-of-the-deep-battle-hardened-osaka/
Japan,23 Aug 2024,"和弥 村上 – Zen, Tamer of Purpose – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/zen-tamer-of-purpose-battle-hardened-osaka/
Japan,23 Aug 2024,"Hiroyuki Tansei – Kayo, Armed and Dangerous – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/hiroyuki-tansei-kayo-armed-and-dangerous-battle-hardened-osaka/
Japan,23 Aug 2024,"Yuji Okita – Victor Goldmane, High and Mighty – Battle Hardened: Osaka",Battle Hardened: Osaka,Classic Constructed,"Victor Goldmane, High and Mighty",5th,https://fabtcg.com/decklists/yuji-okita-victor-goldmane-high-and-mighty-battle-hardened-osaka/
Hong Kong,18 Aug 2024,Eugene C – Rhinar – Battle Hardened: Manila,Calling: Manila,Blitz,Rhinar,1st,https://fabtcg.com/decklists/eugene-c-rhinar-battle-hardened-manila/
Taiwan,18 Aug 2024,Pei-Tung Liao – Iyslander – Commoner Gold Foil,Calling: Manila,Commoner,Iyslander,1st,https://fabtcg.com/decklists/pei-tung-liao-iyslander-commoner-gold-foil/
Hong Kong,18 Aug 2024,Kelvin Law – Zen – Battle Hardened: Manila,Calling: Manila,Blitz,Zen,2nd,https://fabtcg.com/decklists/kelvin-law-zen-battle-hardened-manila/
Philippines,18 Aug 2024,Carlo Ople – Briar – Battle Hardened: Manila,Calling: Manila,Blitz,Briar,3rd,https://fabtcg.com/decklists/carlo-ople-briar-battle-hardened-manila/
Hong Kong,18 Aug 2024,Bun Ar – Zen – Battle Hardened: Manila,Calling: Manila,Blitz,Zen,3rd,https://fabtcg.com/decklists/bun-ar-zen-battle-hardened-manila/
Singapore,18 Aug 2024,Jason Chua – Zen – Battle Hardened: Manila,Calling: Manila,Blitz,Zen,5th,https://fabtcg.com/decklists/jason-chua-zen-battle-hardened-manila/
Japan,18 Aug 2024,"Connor Leverton – Arakni, Solitary Confinement – Battle Hardened: Manila",Calling: Manila,Blitz,"Arakni, Solitary Confinement",5th,https://fabtcg.com/decklists/connor-leverton-arakani-solitary-confinement-battle-hardened-manila/
Japan,18 Aug 2024,"Taiki Bamba – Yoji, Royal Protector – Battle Hardened: Manila",Calling: Manila,Blitz,"Yoji, Royal Protector",5th,https://fabtcg.com/decklists/taiki-bamba-yoji-royal-protector-battle-hardened-manila/
Japan,18 Aug 2024,Mason Galvan – Zen – Battle Hardened: Manila,Calling: Manila,Blitz,Zen,5th,https://fabtcg.com/decklists/mason-galvan-zen-battle-hardened-manila/
Singapore,17 Aug 2024,"Gordon Koh Koh – Nuu, Alluring Desire – Calling: Manila",Calling: Manila,Classic Constructed,"Nuu, Alluring Desire",1st,https://fabtcg.com/decklists/gordon-koh-koh-nuu-alluring-desire-calling-manila/
Philippines,17 Aug 2024,"Justin Cu – Dash, Inventor Extraordinaire – Calling: Manila",Calling: Manila,Classic Constructed,"Dash, Inventor Extraordinaire",2nd,https://fabtcg.com/decklists/justin-cu-dash-inventor-extraordinaire-calling-manila/
Singapore,17 Aug 2024,"Soh Zheng – Kayo, Armed and Dangerous – Calling: Manila",Calling: Manila,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/soh-zheng-kayo-armed-and-dangerous-calling-manila/
Hong Kong,17 Aug 2024,"David Yau – Zen, Tamer of Purpose – Calling: Manila",Calling: Manila,Classic Constructed,"Zen, Tamer of Purpose",3rd,https://fabtcg.com/decklists/david-yau-zen-tamer-of-purpose-calling-manila/
United States of America,17 Aug 2024,"Brodie Spurlock – Zen, Tamer of Purpose – Calling: Manila",Calling: Manila,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/brodie-spurlock-zen-tamer-of-purpose-calling-manila/
Hong Kong,17 Aug 2024,"Pudding Tam – Zen, Tamer of Purpose – Calling: Manila",Calling: Manila,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/pudding-tam-zen-tamer-of-purpose-calling-manila/
United States of America,17 Aug 2024,"Naib Mobassir – Zen, Tamer of Purpose – Calling: Manila",Calling: Manila,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/naib-mobassir-zen-tamer-of-purpose-calling-manila/
Hong Kong,17 Aug 2024,"Nova Chan – Zen, Tamer of Purpose – Calling: Manila",Calling: Manila,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/nova-chan-zen-tamer-of-purpose-calling-manila/
Brazil,10 Aug 2024,"Filipe Lima Cardoso – Zen, Tamer of Purpose – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Zen, Tamer of Purpose",1st,https://fabtcg.com/decklists/filipe-lima-cardoso-zen-tamer-of-purpose-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"Hugo Ribeiro – Prism, Awakener of Sol – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Prism, Awakener of Sol",2nd,https://fabtcg.com/decklists/hugo-ribeiro-prism-awakener-of-sol-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"Guilherme Brito Silva – Kayo, Armed and Dangerous – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Kayo, Armed and Dangerous",3rd,https://fabtcg.com/decklists/guilherme-brito-silva-kayo-armed-and-dangerous-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"João Vitor Borges Guedes – Victor Goldmane, High and Mighty – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Victor Goldmane, High and Mighty",3rd,https://fabtcg.com/decklists/joao-vitor-borges-guedes-victor-goldmane-high-and-mighty-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"Lucas Navarro – Riptide, Lurker of the Deep – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Riptide, Lurker of the Deep",5th,https://fabtcg.com/decklists/lucas-navarro-riptide-lurker-of-the-deep-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"Michel Verissimo da Silva Luiz – Prism, Awakener of Sol – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/michel-verissimo-da-silva-luiz-prism-awakener-of-sol-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"Tetsuo Matsumura – Kano, Dracai of Aether – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Kano, Dracai of Aether",5th,https://fabtcg.com/decklists/tetsuo-matsumura-kano-dracai-of-aether-battle-hardened-sao-paulo/
Brazil,10 Aug 2024,"Ivan Taranto – Zen, Tamer of Purpose – Battle Hardened: São Paulo",Battle Hardened: São Paulo,Classic Constructed,"Zen, Tamer of Purpose",5th,https://fabtcg.com/decklists/ivan-taranto-zen-tamer-of-purpose-battle-hardened-sao-paulo/
,09 Aug 2024,1st Strike – Terra,,Blitz Preconstructed,Terra,,https://fabtcg.com/decklists/1st-strike-terra/
Australia,03 Aug 2024,"Cody Gebert – Nuu, Alluring Desire – Battle Hardened Melbourne",Battle Hardened: Melbourne,Classic Constructed,"Nuu, Alluring Desire",1st,https://fabtcg.com/decklists/cody-gebert-nuu-alluring-desire-battle-hardened-melbourne/
Australia,03 Aug 2024,"Zachary Gardiner – Zen, Tamer of Purpose – Battle Hardened Melbourne",Battle Hardened: Melbourne,Classic Constructed,"Zen, Tamer of Purpose",2nd,https://fabtcg.com/decklists/zachary-gardiner-zen-tamer-of-purpose-battle-hardened-melbourne/
Australia,03 Aug 2024,"German Glukhov – Prism, Awakener of Sol – Battle Hardened Melbourne",Battle Hardened: Melbourne,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/german-glukhov-prism-awakener-of-sol-battle-hardened-melbourne/
